model,accuracy,precision,recall,f1
Linear Regression  [Stage 1],0.40499194847020936,0.40499194847020936,1.0,0.5765042979942694
Logistic Regression [Stage 1],0.40499194847020936,0.40499194847020936,1.0,0.5765042979942694
Random Forest       [Stage 2],0.604669887278583,0.5352941176470588,0.18091451292246521,0.2704309063893016
XGBoost             [Stage 2],0.5861513687600645,0.46496815286624205,0.14512922465208747,0.22121212121212122
