model,accuracy,precision,recall,f1
Linear Regression  [Stage 1],0.44524959742351045,0.3736413043478261,0.5467196819085487,0.44390637610976597
Logistic Regression [Stage 1],0.4396135265700483,0.36941813261163736,0.5427435387673957,0.4396135265700483
Random Forest       [Stage 2],0.4033816425120773,0.37286324786324787,0.6938369781312127,0.4850590687977762
XGBoost             [Stage 2],0.4178743961352657,0.34057971014492755,0.4671968190854871,0.393964794635373
