model,accuracy,precision,recall,f1
Linear Regression  [Stage 1],0.5893719806763285,0.0,0.0,0.0
Logistic Regression [Stage 1],0.5410628019323671,0.45901639344262296,0.6588235294117647,0.5410628019323671
Random Forest       [Stage 2],0.5942028985507246,0.5039370078740157,0.7529411764705882,0.6037735849056604
XGBoost             [Stage 2],0.606280193236715,0.5251798561151079,0.4294117647058823,0.47249190938511326
