time,dF/F,behavior
0,3.631,idle
66.67,3.619,idle
133.334,3.61,idle
200,3.556,idle
266.671,3.553,idle
333.335,3.51,idle
400.001,3.485,idle
466.666,3.459,idle
533.331,3.432,idle
600.003,3.419,idle
666.669,3.438,idle
733.337,3.434,idle
799.999,3.409,idle
866.67,3.39,idle
933.334,3.364,idle
1000,3.368,idle
1066.67,3.34,idle
1133.334,3.358,idle
1199.997,3.384,idle
1266.67,3.389,idle
1333.335,3.406,idle
1400,3.434,idle
1466.668,3.461,suspended
1533.331,3.486,suspended
1600.002,3.426,suspended
1666.665,3.351,suspended
1733.336,3.286,suspended
1799.997,3.098,suspended
1866.671,2.85,suspended
1933.337,2.628,suspended
2000.002,2.366,suspended
2066.669,2.121,suspended
2133.336,1.822,suspended
2199.998,1.525,suspended
2266.666,1.192,suspended
2333.333,0.899,suspended
2400.004,0.553,suspended
2466.665,0.2,suspended
2533.335,-0.112,suspended
2599.998,-0.347,suspended
2666.666,-0.576,suspended
2733.335,-0.813,suspended
2800.001,-0.908,suspended
2866.664,-0.979,suspended
2933.334,-1.102,suspended
3000,-1.177,suspended
3066.666,-1.239,suspended
3133.337,-1.277,suspended
3200.001,-1.301,suspended
3266.668,-1.307,suspended
3333.334,-1.325,suspended
3399.999,-1.329,suspended
3466.668,-1.338,suspended
3533.334,-1.328,suspended
3600.003,-1.344,suspended
3666.67,-1.322,suspended
3733.337,-1.318,suspended
3800,-1.368,suspended
3866.669,-1.418,suspended
3933.335,-1.44,suspended
4000.004,-1.464,suspended
4066.668,-1.508,suspended
4133.337,-1.558,suspended
4200.001,-1.557,suspended
4266.666,-1.573,suspended
4333.332,-1.593,suspended
4400.001,-1.582,suspended
4466.67,-1.538,suspended
4533.335,-1.549,suspended
4600.003,-1.555,suspended
4666.67,-1.582,suspended
4733.336,-1.615,suspended
4800.003,-1.585,suspended
4866.67,-1.518,suspended
4933.334,-1.463,suspended
5000.003,-1.41,suspended
5066.669,-1.31,suspended
5133.335,-1.256,suspended
5200.002,-1.216,suspended
5266.67,-1.164,suspended
5333.337,-1.101,suspended
5400.001,-1.047,suspended
5466.669,-0.995,suspended
5533.334,-0.952,suspended
5600.004,-0.928,walking
5666.665,-0.924,walking
5733.332,-0.894,walking
5799.997,-0.867,walking
5866.669,-0.839,walking
5933.333,-0.821,walking
5999.998,-0.795,walking
6066.669,-0.824,walking
6133.335,-0.788,walking
6200.004,-0.8,walking
6266.667,-0.794,walking
6333.332,-0.797,walking
6400.001,-0.795,walking
6466.665,-0.806,walking
6533.33,-0.835,walking
6600.002,-0.839,walking
6666.67,-0.827,walking
6733.333,-0.796,walking
6800,-0.793,walking
6866.667,-0.797,walking
6933.338,-0.807,walking
7000.002,-0.809,walking
7066.671,-0.783,walking
7133.337,-0.785,walking
7200.003,-0.769,walking
7266.669,-0.758,walking
7333.333,-0.76,walking
7399.999,-0.755,walking
7466.666,-0.734,walking
7533.337,-0.693,walking
7600.004,-0.682,walking
7666.668,-0.629,walking
7733.331,-0.63,walking
7800.001,-0.638,walking
7866.67,-0.657,walking
7933.334,-0.643,walking
8000.001,-0.644,walking
8066.669,-0.645,walking
8133.334,-0.663,walking
8200.001,-0.664,walking
8266.666,-0.7,walking
8333.336,-0.724,walking
8399.998,-0.742,walking
8466.666,-0.769,walking
8533.337,-0.802,walking
8599.997,-0.801,walking
8666.67,-0.848,idle
8733.331,-0.873,idle
8800.002,-0.881,idle
8866.668,-0.845,idle
8933.333,-0.848,idle
9000.003,-0.841,idle
9066.668,-0.832,idle
9133.336,-0.814,idle
9200.003,-0.823,idle
9266.668,-0.813,idle
9333.336,-0.79,idle
9400.004,-0.766,idle
9466.669,-0.776,idle
9533.332,-0.784,idle
9600.002,-0.804,idle
9666.67,-0.81,idle
9733.331,-0.83,idle
9799.998,-0.876,idle
9866.668,-0.931,idle
9933.335,-0.962,idle
9999.999,-0.997,idle
10066.67,-1.007,idle
10133.331,-1.037,idle
10200.002,-1.025,idle
10266.664,-1.044,idle
10333.335,-1.074,idle
10400.003,-1.132,idle
10466.664,-1.199,idle
10533.334,-1.238,idle
10600.002,-1.248,idle
10666.668,-1.295,idle
10733.335,-1.328,idle
10799.999,-1.312,idle
10866.668,-1.358,idle
10933.334,-1.369,idle
11000.001,-1.389,idle
11066.665,-1.386,idle
11133.334,-1.356,idle
11199.997,-1.368,idle
11266.67,-1.342,idle
11333.332,-1.302,idle
11400.003,-1.276,idle
11466.665,-1.169,idle
11533.331,-1.097,idle
11599.999,-1.062,idle
11666.669,-0.994,idle
11733.336,-0.923,idle
11800.001,-0.881,idle
11866.664,-0.804,idle
11933.333,-0.747,idle
11999.999,-0.705,idle
12066.668,-0.708,idle
12133.331,-0.715,idle
12200.004,-0.708,idle
12266.664,-0.669,idle
12333.337,-0.691,idle
12400.002,-0.661,idle
12466.67,-0.657,idle
12533.336,-0.674,idle
12600.003,-0.673,idle
12666.67,-0.684,idle
12733.331,-0.669,idle
12800,-0.657,idle
12866.666,-0.622,idle
12933.334,-0.628,idle
12999.999,-0.619,idle
13066.665,-0.614,idle
13133.333,-0.618,idle
13199.999,-0.595,idle
13266.666,-0.607,idle
13333.336,-0.56,idle
13400.002,-0.561,idle
13466.669,-0.576,idle
13533.333,-0.565,idle
13600.002,-0.549,idle
13666.665,-0.531,idle
13733.335,-0.556,idle
13800.004,-0.549,idle
13866.668,-0.569,idle
13933.332,-0.567,idle
14000.002,-0.566,idle
14066.665,-0.559,idle
14133.336,-0.543,idle
14199.998,-0.565,idle
14266.665,-0.563,idle
14333.332,-0.57,idle
14399.998,-0.575,idle
14466.668,-0.582,idle
14533.337,-0.578,idle
14599.999,-0.589,idle
14666.669,-0.609,idle
14733.336,-0.589,idle
14799.999,-0.6,idle
14866.665,-0.58,idle
14933.335,-0.586,idle
14999.999,-0.587,idle
15066.671,-0.595,idle
15133.336,-0.581,idle
15200.004,-0.572,idle
15266.666,-0.566,idle
15333.334,-0.578,idle
15400.003,-0.58,idle
15466.67,-0.593,idle
15533.332,-0.589,idle
15600.002,-0.581,idle
15666.664,-0.568,idle
15733.331,-0.579,idle
15800.004,-0.563,idle
15866.669,-0.576,idle
15933.336,-0.536,idle
15999.991,-0.532,idle
16066.643,-0.52,idle
16133.302,-0.535,idle
16199.954,-0.513,idle
16266.606,-0.531,idle
16333.265,-0.521,idle
16399.914,-0.51,idle
16466.573,-0.482,idle
16533.225,-0.492,idle
16599.879,-0.484,idle
16666.534,-0.507,idle
16733.19,-0.486,idle
16799.838,-0.479,idle
16866.495,-0.482,idle
16933.15,-0.495,idle
16999.798,-0.49,idle
17066.454,-0.481,idle
17133.11,-0.465,idle
17199.761,-0.49,idle
17266.416,-0.462,idle
17333.07,-0.472,idle
17399.719,-0.487,idle
17466.377,-0.507,idle
17533.027,-0.501,idle
17599.679,-0.509,idle
17666.332,-0.495,idle
17732.981,-0.484,idle
17799.635,-0.514,idle
17866.289,-0.496,idle
17932.94,-0.511,idle
17999.592,-0.529,idle
18066.244,-0.569,idle
18132.896,-0.593,idle
18199.551,-0.588,idle
18266.197,-0.601,idle
18332.853,-0.61,idle
18399.501,-0.611,idle
18466.156,-0.626,idle
18532.807,-0.625,idle
18599.455,-0.65,idle
18666.108,-0.639,idle
18732.758,-0.681,idle
18799.411,-0.678,idle
18866.059,-0.723,idle
18932.71,-0.728,idle
18999.362,-0.735,idle
19066.015,-0.717,idle
19132.662,-0.705,idle
19199.313,-0.726,idle
19265.966,-0.755,idle
19332.613,-0.777,idle
19399.263,-0.775,idle
19465.913,-0.783,idle
19532.563,-0.79,idle
19599.21,-0.782,idle
19665.859,-0.798,idle
19732.512,-0.783,idle
19799.158,-0.759,idle
19865.807,-0.745,idle
19932.458,-0.748,idle
19999.107,-0.714,idle
20065.754,-0.691,idle
20132.408,-0.685,idle
20199.054,-0.67,idle
20265.705,-0.648,idle
20332.353,-0.63,idle
20399.003,-0.634,idle
20465.65,-0.613,idle
20532.3,-0.605,idle
20598.945,-0.593,idle
20665.594,-0.584,idle
20732.245,-0.59,idle
20798.888,-0.596,idle
20865.541,-0.559,idle
20932.185,-0.545,idle
20998.833,-0.538,idle
21065.483,-0.544,idle
21132.126,-0.566,idle
21198.776,-0.579,idle
21265.426,-0.561,idle
21332.072,-0.554,idle
21398.717,-0.557,idle
21465.361,-0.555,idle
21532.01,-0.568,idle
21598.658,-0.563,idle
21665.306,-0.593,idle
21731.951,-0.595,idle
21798.6,-0.58,idle
21865.241,-0.598,idle
21931.889,-0.593,idle
21998.535,-0.603,idle
22065.182,-0.608,idle
22131.826,-0.599,idle
22198.475,-0.579,idle
22265.122,-0.584,idle
22331.765,-0.568,idle
22398.41,-0.548,idle
22465.059,-0.528,idle
22531.7,-0.514,idle
22598.348,-0.509,idle
22664.996,-0.454,idle
22731.635,-0.445,idle
22798.286,-0.452,idle
22864.925,-0.465,idle
22931.574,-0.495,idle
22998.218,-0.493,idle
23064.865,-0.491,idle
23131.508,-0.469,idle
23198.148,-0.441,idle
23264.798,-0.453,idle
23331.442,-0.45,idle
23398.081,-0.444,idle
23464.726,-0.439,idle
23531.373,-0.438,idle
23598.019,-0.443,idle
23664.659,-0.457,idle
23731.305,-0.457,idle
23797.947,-0.452,idle
23864.592,-0.437,idle
23931.233,-0.417,idle
23997.889,-0.425,idle
24064.546,-0.433,idle
24131.203,-0.445,idle
24197.856,-0.438,idle
24264.518,-0.435,idle
24331.176,-0.425,idle
24397.828,-0.417,idle
24464.485,-0.419,idle
24531.145,-0.413,idle
24597.796,-0.396,idle
24664.452,-0.379,idle
24731.109,-0.372,idle
24797.77,-0.376,idle
24864.423,-0.36,idle
24931.078,-0.332,idle
24997.732,-0.314,idle
25064.394,-0.3,idle
25131.048,-0.289,idle
25197.706,-0.314,idle
25264.36,-0.321,idle
25331.013,-0.338,idle
25397.671,-0.344,idle
25464.326,-0.351,idle
25530.983,-0.335,idle
25597.638,-0.365,idle
25664.296,-0.366,idle
25730.949,-0.38,idle
25797.608,-0.395,idle
25864.267,-0.404,idle
25930.92,-0.419,idle
25997.576,-0.422,idle
26064.231,-0.416,idle
26130.889,-0.387,idle
26197.546,-0.385,idle
26264.197,-0.358,idle
26330.853,-0.332,idle
26397.512,-0.325,idle
26464.164,-0.314,idle
26530.822,-0.343,idle
26597.474,-0.328,idle
26664.131,-0.346,idle
26730.79,-0.322,idle
26797.441,-0.291,idle
26864.101,-0.301,idle
26930.758,-0.285,idle
26997.411,-0.301,idle
27064.064,-0.29,idle
27130.723,-0.326,idle
27197.375,-0.325,idle
27264.033,-0.337,idle
27330.685,-0.335,idle
27397.343,-0.34,idle
27464.001,-0.329,idle
27530.654,-0.299,idle
27597.307,-0.276,idle
27663.963,-0.247,idle
27730.616,-0.244,idle
27797.275,-0.231,idle
27863.928,-0.198,idle
27930.584,-0.208,idle
27997.242,-0.177,idle
28063.896,-0.182,idle
28130.55,-0.172,idle
28197.207,-0.169,idle
28263.859,-0.162,idle
28330.513,-0.165,idle
28397.171,-0.169,idle
28463.826,-0.175,idle
28530.478,-0.188,idle
28597.132,-0.205,idle
28663.789,-0.208,idle
28730.441,-0.206,idle
28797.101,-0.236,idle
28863.757,-0.222,idle
28930.411,-0.215,idle
28997.066,-0.219,idle
29063.721,-0.206,idle
29130.372,-0.204,idle
29197.026,-0.192,idle
29263.682,-0.166,idle
29330.334,-0.155,idle
29396.993,-0.148,idle
29463.648,-0.144,idle
29530.3,-0.149,idle
29596.955,-0.144,idle
29663.61,-0.16,idle
29730.268,-0.168,idle
29796.921,-0.158,idle
29863.575,-0.163,idle
29930.225,-0.168,idle
29996.886,-0.161,idle
30063.534,-0.149,idle
30130.19,-0.097,idle
30196.845,-0.054,idle
30263.499,-0.032,idle
30330.153,0.001,idle
30396.808,0.07,idle
30463.465,0.106,idle
30530.118,0.169,idle
30596.774,0.202,idle
30663.429,0.252,idle
30730.08,0.291,idle
30796.731,0.33,idle
30863.388,0.352,idle
30930.045,0.392,idle
30996.693,0.411,idle
31063.348,0.441,idle
31130.007,0.438,idle
31196.661,0.445,idle
31263.312,0.442,idle
31329.965,0.46,idle
31396.62,0.447,idle
31463.276,0.459,idle
31529.929,0.442,idle
31596.579,0.467,idle
31663.232,0.479,idle
31729.89,0.491,idle
31796.544,0.513,idle
31863.199,0.507,idle
31929.854,0.505,idle
31996.51,0.521,idle
32063.163,0.497,idle
32129.821,0.497,idle
32196.483,0.508,idle
32263.137,0.545,idle
32329.8,0.52,idle
32396.456,0.52,idle
32463.114,0.525,idle
32529.766,0.541,idle
32596.425,0.533,idle
32663.082,0.513,idle
32729.745,0.527,idle
32796.397,0.509,idle
32863.056,0.517,idle
32929.712,0.523,idle
32996.372,0.533,idle
33063.031,0.551,idle
33129.688,0.553,idle
33196.343,0.535,idle
33263.002,0.509,idle
33329.663,0.527,idle
33396.315,0.532,idle
33462.978,0.504,idle
33529.618,0.49,idle
33596.293,0.491,idle
33662.948,0.489,idle
33729.609,0.474,idle
33796.263,0.463,idle
33862.917,0.442,idle
33929.577,0.424,idle
33996.235,0.426,idle
34062.896,0.403,idle
34129.549,0.406,idle
34196.209,0.394,idle
34262.866,0.383,idle
34329.52,0.355,idle
34396.183,0.315,idle
34462.837,0.316,idle
34529.497,0.313,idle
34596.15,0.299,idle
34662.807,0.305,idle
34729.469,0.308,idle
34796.125,0.315,idle
34862.783,0.332,idle
34929.442,0.36,idle
34996.098,0.371,idle
35062.752,0.359,idle
35129.408,0.351,idle
35196.069,0.366,idle
35262.725,0.368,idle
35329.381,0.377,idle
35396.042,0.41,idle
35462.701,0.429,idle
35529.359,0.42,idle
35596.015,0.443,idle
35662.673,0.453,idle
35729.328,0.462,idle
35795.984,0.472,idle
35862.645,0.476,idle
35929.297,0.463,idle
35995.955,0.432,idle
36062.612,0.469,idle
36129.268,0.441,idle
36195.929,0.457,idle
36262.584,0.47,idle
36329.24,0.477,idle
36395.897,0.481,idle
36462.557,0.47,idle
36529.213,0.495,idle
36595.875,0.499,idle
36662.526,0.474,idle
36729.187,0.46,idle
36795.846,0.444,idle
36862.501,0.458,idle
36929.16,0.44,idle
36995.816,0.456,idle
37062.468,0.44,idle
37129.129,0.477,idle
37195.786,0.452,idle
37262.44,0.369,idle
37329.102,0.302,idle
37395.758,0.168,idle
37462.414,0.076,idle
37529.073,-0.024,idle
37595.731,-0.132,idle
37662.382,-0.178,idle
37729.04,-0.271,idle
37795.702,-0.339,idle
37862.358,-0.444,idle
37929.015,-0.506,idle
37995.671,-0.575,idle
38062.331,-0.622,idle
38128.986,-0.698,idle
38195.644,-0.769,idle
38262.301,-0.778,idle
38328.958,-0.779,idle
38395.611,-0.73,idle
38462.271,-0.699,idle
38528.93,-0.664,idle
38595.583,-0.665,idle
38662.238,-0.671,idle
38728.898,-0.642,idle
38795.554,-0.633,idle
38862.209,-0.625,idle
38928.87,-0.625,idle
38995.529,-0.64,idle
39062.183,-0.618,idle
39128.84,-0.61,idle
39195.495,-0.608,idle
39262.156,-0.611,idle
39328.813,-0.603,idle
39395.468,-0.59,fore lick
39462.124,-0.577,fore lick
39528.78,-0.597,fore lick
39595.44,-0.583,fore lick
39662.095,-0.579,fore lick
39728.75,-0.602,fore lick
39795.406,-0.619,fore lick
39862.069,-0.598,fore lick
39928.725,-0.606,fore lick
39995.384,-0.627,fore lick
40062.039,-0.654,fore lick
40128.696,-0.647,fore lick
40195.353,-0.644,fore lick
40262.011,-0.609,fore lick
40328.672,-0.603,fore lick
40395.331,-0.595,fore lick
40461.988,-0.605,fore lick
40528.647,-0.602,fore lick
40595.309,-0.571,fore lick
40661.963,-0.561,fore lick
40728.625,-0.544,fore lick
40795.285,-0.506,fore lick
40861.939,-0.515,fore lick
40928.601,-0.494,fore lick
40995.259,-0.46,fore lick
41061.913,-0.487,fore lick
41128.571,-0.502,fore lick
41195.234,-0.499,fore lick
41261.888,-0.512,fore lick
41328.553,-0.482,fore lick
41395.209,-0.498,fore lick
41461.865,-0.518,fore lick
41528.524,-0.511,fore lick
41595.181,-0.544,fore lick
41661.839,-0.541,fore lick
41728.5,-0.546,fore lick
41795.162,-0.548,fore lick
41861.817,-0.539,fore lick
41928.475,-0.536,fore lick
41995.136,-0.547,fore lick
42061.792,-0.544,fore lick
42128.453,-0.574,fore lick
42195.108,-0.605,fore lick
42261.769,-0.628,fore lick
42328.43,-0.657,fore lick
42395.085,-0.633,fore lick
42461.743,-0.626,fore lick
42528.401,-0.619,fore lick
42595.061,-0.579,fore lick
42661.716,-0.574,fore lick
42728.375,-0.544,fore lick
42795.035,-0.55,fore lick
42861.692,-0.538,fore lick
42928.352,-0.534,fore lick
42995.014,-0.534,fore lick
43061.673,-0.497,fore lick
43128.33,-0.449,fore lick
43194.983,-0.404,fore lick
43261.647,-0.375,fore lick
43328.307,-0.356,fore lick
43394.962,-0.357,fore lick
43461.62,-0.318,fore lick
43528.28,-0.326,fore lick
43594.936,-0.341,fore lick
