time,dF/F,behavior
16333.265,-0.182,idle
16399.914,-0.176,idle
16466.573,-0.161,idle
16533.225,-0.166,idle
16599.879,-0.162,idle
16666.534,-0.174,idle
16733.19,-0.163,idle
16799.838,-0.159,idle
16866.495,-0.161,idle
16933.15,-0.168,idle
16999.798,-0.165,idle
17066.454,-0.16,idle
17133.11,-0.151,idle
17199.761,-0.165,idle
17266.416,-0.15,idle
17333.07,-0.155,idle
17399.719,-0.163,idle
17466.377,-0.174,idle
17533.027,-0.171,idle
17599.679,-0.176,idle
17666.332,-0.168,idle
17732.981,-0.162,idle
17799.635,-0.178,idle
17866.289,-0.168,idle
17932.94,-0.176,idle
17999.592,-0.186,idle
18066.244,-0.208,idle
18132.896,-0.221,idle
18199.551,-0.219,idle
18266.197,-0.226,idle
18332.853,-0.231,idle
18399.501,-0.231,idle
18466.156,-0.239,idle
18532.807,-0.239,idle
18599.455,-0.253,idle
18666.108,-0.246,idle
18732.758,-0.27,idle
18799.411,-0.268,idle
18866.059,-0.293,idle
18932.71,-0.295,idle
18999.362,-0.299,idle
19066.015,-0.289,idle
19132.662,-0.283,idle
19199.313,-0.294,idle
19265.966,-0.31,idle
19332.613,-0.322,idle
19399.263,-0.321,idle
19465.913,-0.325,idle
19532.563,-0.329,idle
19599.21,-0.325,idle
19665.859,-0.334,idle
19732.512,-0.325,idle
19799.158,-0.312,idle
19865.807,-0.304,idle
19932.458,-0.306,idle
19999.107,-0.288,idle
20065.754,-0.275,idle
20132.408,-0.272,idle
20199.054,-0.263,idle
20265.705,-0.251,idle
20332.353,-0.242,idle
20399.003,-0.244,idle
20465.65,-0.232,idle
20532.3,-0.228,idle
20598.945,-0.221,idle
20665.594,-0.216,idle
20732.245,-0.219,idle
20798.888,-0.223,idle
20865.541,-0.203,idle
20932.185,-0.195,idle
20998.833,-0.191,idle
21065.483,-0.194,idle
21132.126,-0.206,idle
21198.776,-0.214,idle
21265.426,-0.204,idle
21332.072,-0.2,idle
21398.717,-0.202,idle
21465.361,-0.201,idle
21532.01,-0.208,idle
21598.658,-0.205,idle
21665.306,-0.221,idle
21731.951,-0.222,idle
21798.6,-0.214,idle
21865.241,-0.224,idle
21931.889,-0.221,idle
21998.535,-0.227,idle
22065.182,-0.229,idle
22131.826,-0.225,idle
22198.475,-0.214,idle
22265.122,-0.216,idle
22331.765,-0.207,idle
22398.41,-0.196,idle
22465.059,-0.186,idle
22531.7,-0.178,idle
22598.348,-0.175,idle
22664.996,-0.145,idle
22731.635,-0.14,idle
22798.286,-0.144,idle
22864.925,-0.152,idle
22931.574,-0.168,idle
22998.218,-0.167,idle
23064.865,-0.166,idle
23131.508,-0.154,idle
23198.148,-0.138,idle
23264.798,-0.145,idle
23331.442,-0.143,idle
23398.081,-0.14,idle
23464.726,-0.137,idle
23531.373,-0.136,idle
23598.019,-0.139,idle
23664.659,-0.147,idle
23731.305,-0.147,idle
23797.947,-0.144,idle
23864.592,-0.136,idle
23931.233,-0.125,idle
23997.889,-0.129,idle
24064.546,-0.134,idle
24131.203,-0.14,idle
24197.856,-0.137,idle
24264.518,-0.135,idle
24331.176,-0.13,idle
24397.828,-0.125,idle
24464.485,-0.126,idle
24531.145,-0.123,idle
24597.796,-0.114,idle
24664.452,-0.104,idle
24731.109,-0.1,idle
24797.77,-0.103,idle
24864.423,-0.094,idle
24931.078,-0.079,idle
24997.732,-0.069,idle
25064.394,-0.061,idle
25131.048,-0.055,idle
25197.706,-0.069,idle
25264.36,-0.072,idle
25331.013,-0.082,idle
25397.671,-0.085,idle
25464.326,-0.089,idle
25530.983,-0.08,idle
25597.638,-0.097,idle
25664.296,-0.097,idle
25730.949,-0.105,idle
25797.608,-0.113,idle
25864.267,-0.118,idle
25930.92,-0.126,idle
25997.576,-0.128,idle
26064.231,-0.124,idle
26130.889,-0.108,idle
26197.546,-0.108,idle
26264.197,-0.093,idle
26330.853,-0.079,idle
26397.512,-0.075,idle
26464.164,-0.069,idle
26530.822,-0.085,idle
26597.474,-0.077,idle
26664.131,-0.086,idle
26730.79,-0.073,idle
26797.441,-0.056,idle
26864.101,-0.061,idle
26930.758,-0.053,idle
26997.411,-0.061,idle
27064.064,-0.055,idle
27130.723,-0.075,idle
27197.375,-0.075,idle
27264.033,-0.081,idle
27330.685,-0.08,idle
27397.343,-0.083,idle
27464.001,-0.077,idle
27530.654,-0.06,idle
27597.307,-0.048,idle
27663.963,-0.032,idle
27730.616,-0.03,idle
27797.275,-0.023,idle
27863.928,-0.005,idle
27930.584,-0.011,idle
27997.242,0.006,idle
28063.896,0.003,idle
28130.55,0.009,idle
28197.207,0.011,idle
28263.859,0.015,idle
28330.513,0.013,idle
28397.171,0.011,idle
28463.826,0.007,idle
28530.478,0,idle
28597.132,-0.009,idle
28663.789,-0.011,idle
28730.441,-0.01,idle
28797.101,-0.026,idle
28863.757,-0.018,idle
28930.411,-0.014,idle
28997.066,-0.017,idle
29063.721,-0.01,idle
29130.372,-0.009,idle
29197.026,-0.002,idle
29263.682,0.012,idle
29330.334,0.018,idle
29396.993,0.022,idle
29463.648,0.024,idle
29530.3,0.021,idle
29596.955,0.024,idle
29663.61,0.015,idle
29730.268,0.011,idle
29796.921,0.017,idle
29863.575,0.014,idle
29930.225,0.011,idle
29996.886,0.015,idle
30063.534,0.021,idle
30130.19,0.05,idle
30196.845,0.074,idle
30263.499,0.085,idle
30330.153,0.103,idle
30396.808,0.141,idle
30463.465,0.161,idle
30530.118,0.195,idle
30596.774,0.213,idle
30663.429,0.241,idle
30730.08,0.262,idle
30796.731,0.283,idle
30863.388,0.295,idle
30930.045,0.317,idle
30996.693,0.328,idle
31063.348,0.344,idle
31130.007,0.343,idle
31196.661,0.346,idle
31263.312,0.344,idle
31329.965,0.354,idle
31396.62,0.347,idle
31463.276,0.354,idle
31529.929,0.345,idle
31596.579,0.358,idle
31663.232,0.365,idle
31729.89,0.371,idle
31796.544,0.383,idle
31863.199,0.38,idle
31929.854,0.379,idle
31996.51,0.388,idle
32063.163,0.374,idle
32129.821,0.374,idle
32196.483,0.381,idle
32263.137,0.401,idle
32329.8,0.387,idle
32396.456,0.387,idle
32463.114,0.39,idle
32529.766,0.399,idle
32596.425,0.394,idle
32663.082,0.383,idle
32729.745,0.391,idle
32796.397,0.381,idle
32863.056,0.385,idle
32929.712,0.389,idle
32996.372,0.394,idle
33063.031,0.404,idle
33129.688,0.405,idle
33196.343,0.395,idle
33263.002,0.381,idle
33329.663,0.391,idle
33396.315,0.394,idle
33462.978,0.378,idle
33529.618,0.371,idle
33596.293,0.371,idle
33662.948,0.37,idle
33729.609,0.362,idle
33796.263,0.356,idle
33862.917,0.344,idle
33929.577,0.335,idle
33996.235,0.336,idle
34062.896,0.323,idle
34129.549,0.325,idle
34196.209,0.318,idle
34262.866,0.312,idle
34329.52,0.297,idle
34396.183,0.275,idle
34462.837,0.275,idle
34529.497,0.274,idle
34596.15,0.266,idle
34662.807,0.27,idle
34729.469,0.271,idle
34796.125,0.275,idle
34862.783,0.284,idle
34929.442,0.3,idle
34996.098,0.306,idle
35062.752,0.299,idle
35129.408,0.295,idle
35196.069,0.303,idle
35262.725,0.304,idle
35329.381,0.309,idle
35396.042,0.327,idle
35462.701,0.337,idle
35529.359,0.333,idle
35596.015,0.345,idle
35662.673,0.351,idle
35729.328,0.355,idle
35795.984,0.361,idle
35862.645,0.363,idle
35929.297,0.356,idle
35995.955,0.339,idle
36062.612,0.359,idle
36129.268,0.344,idle
36195.929,0.353,idle
36262.584,0.36,idle
36329.24,0.364,idle
36395.897,0.366,idle
36462.557,0.36,idle
36529.213,0.374,idle
36595.875,0.376,idle
36662.526,0.362,idle
36729.187,0.354,idle
36795.846,0.346,idle
36862.501,0.353,idle
36929.16,0.343,idle
36995.816,0.352,idle
37062.468,0.343,idle
37129.129,0.363,idle
37195.786,0.35,idle
37262.44,0.305,idle
37329.102,0.268,idle
37395.758,0.195,idle
37462.414,0.144,idle
37529.073,0.09,idle
37595.731,0.031,idle
37662.382,0.006,idle
37729.04,-0.045,idle
37795.702,-0.082,idle
37862.358,-0.14,idle
37929.015,-0.174,idle
37995.671,-0.211,idle
38062.331,-0.237,idle
38128.986,-0.278,idle
38195.644,-0.318,idle
38262.301,-0.322,idle
38328.958,-0.323,idle
38395.611,-0.296,idle
38462.271,-0.279,idle
38528.93,-0.26,idle
38595.583,-0.261,idle
38662.238,-0.264,idle
38728.898,-0.248,idle
38795.554,-0.243,idle
38862.209,-0.239,idle
38928.87,-0.239,idle
38995.529,-0.247,idle
39062.183,-0.235,idle
39128.84,-0.231,idle
39195.495,-0.23,idle
39262.156,-0.231,idle
39328.813,-0.227,idle
39395.468,-0.22,fore lick
39462.124,-0.212,fore lick
39528.78,-0.223,fore lick
39595.44,-0.216,fore lick
39662.095,-0.214,fore lick
39728.75,-0.226,fore lick
39795.406,-0.236,fore lick
39862.069,-0.224,fore lick
39928.725,-0.228,fore lick
39995.384,-0.24,fore lick
40062.039,-0.255,fore lick
40128.696,-0.251,fore lick
40195.353,-0.249,fore lick
40262.011,-0.23,fore lick
40328.672,-0.227,fore lick
40395.331,-0.223,fore lick
