time,dF/F,behavior
16466.577,0.078,walking
16533.236,0.011,walking
16599.885,-0.071,walking
16666.543,-0.009,walking
16733.195,0.047,walking
16799.855,-0.133,walking
16866.507,-0.015,walking
16933.163,0.171,walking
16999.819,0.019,walking
17066.472,-0.129,walking
17133.127,-0.256,walking
17199.775,-0.283,walking
17266.435,-0.411,walking
17333.083,-0.465,walking
17399.743,-0.21,walking
17466.391,-0.005,walking
17533.046,-0.113,walking
17599.702,-0.154,walking
17666.355,-0.162,walking
17733.01,-0.233,walking
17799.662,-0.113,walking
17866.314,-0.148,walking
17932.968,-0.255,walking
17999.622,-0.155,walking
18066.276,0.17,walking
18132.924,0.291,walking
18199.581,0.076,walking
18266.23,0.202,walking
18332.882,0.228,walking
18399.538,0.278,walking
18466.185,0.28,walking
18532.839,0.422,walking
18599.494,0.506,walking
18666.143,0.459,walking
18732.798,0.759,walking
18799.445,0.808,walking
18866.103,0.806,walking
18932.754,1.066,walking
18999.406,1.144,walking
19066.054,1.125,walking
19132.708,1.064,walking
19199.36,1.15,walking
19266.008,1.358,walking
19332.663,1.302,walking
19399.309,1.149,walking
19465.964,1.146,walking
19532.612,1.034,walking
19599.262,1.076,walking
19665.918,1.049,walking
19732.564,0.794,walking
19799.212,0.719,walking
19865.865,0.881,walking
19932.515,0.861,walking
19999.168,0.747,walking
20065.813,0.599,walking
20132.466,0.698,walking
20199.118,0.835,walking
20265.767,0.658,walking
20332.415,0.637,walking
20399.071,0.647,walking
20465.718,0.578,walking
20532.361,0.698,walking
20599.011,0.57,walking
20665.664,0.578,walking
20732.316,0.592,walking
20798.963,0.535,walking
20865.614,0.267,walking
20932.257,0.128,walking
20998.905,0.103,walking
21065.559,0.261,walking
21132.207,0.182,walking
21198.858,0.005,walking
21265.502,0.007,walking
21332.153,0.098,walking
21398.798,0.241,walking
21465.446,0.435,walking
21532.098,0.313,walking
21598.741,0.416,walking
21665.393,0.365,walking
21732.039,0.411,walking
21798.688,0.436,walking
21865.337,0.566,walking
21931.983,0.515,walking
21998.631,0.469,walking
