feature
dFF_scaled
dFF_lag_1
dFF_lag_2
dFF_lag_3
dFF_lag_5
dFF_lag_7
dFF_lag_10
dFF_lag_15
dFF_lag_20
dFF_delta
dFF_roll_mean
dFF_roll_std
session_time_norm
session_time_elapsed
session_progress_bin
