model,accuracy,precision,recall,f1
Linear Regression  [Stage 1],0.5893719806763285,0.0,0.0,0.0
Logistic Regression [Stage 1],0.5410628019323671,0.45901639344262296,0.6588235294117647,0.5410628019323671
Random Forest       [Stage 2],0.6038647342995169,0.5245901639344263,0.3764705882352941,0.4383561643835616
XGBoost             [Stage 2],0.5966183574879227,0.5189873417721519,0.2411764705882353,0.3293172690763052
