model,accuracy,precision,recall,f1
Linear Regression  [Stage 1],0.40499194847020936,0.40499194847020936,1.0,0.5765042979942694
Logistic Regression [Stage 1],0.40499194847020936,0.40499194847020936,1.0,0.5765042979942694
Random Forest       [Stage 2],0.6135265700483091,0.5864661654135338,0.1550695825049702,0.24528301886792453
XGBoost             [Stage 2],0.5845410628019324,0.45390070921985815,0.1272365805168986,0.19875776397515527
