model,accuracy,precision,recall,f1
Linear Regression  [Stage 1],0.40499194847020936,0.40499194847020936,1.0,0.5765042979942694
Logistic Regression [Stage 1],0.40499194847020936,0.40499194847020936,1.0,0.5765042979942694
Random Forest       [Stage 2],0.6095008051529791,0.5391304347826087,0.24652087475149106,0.3383356070941337
XGBoost             [Stage 2],0.5917874396135265,0.4888888888888889,0.1749502982107356,0.25768667642752563
